Apr. 7, 2019   11:39:31
Tafel Plot
File: D:\process\data\tafel1.bin.txt
Data Source:  Experiment
Instrument Model:  CHI900D
Header: 
Note: 

Init E (V) = 0.5
Final E (V) = -0.1
Segment = 2
Hold Time at Ef (sec) = 0
Scan Rate (V/s) = 0.01
Quiet Time (sec) = 10

Potential/V, Current/A, log(i/A)
-0.027, 5.279e-7, -6.277e+0
-0.026, 5.262e-7, -6.279e+0
-0.025, 5.245e-7, -6.280e+0
-0.024, 5.229e-7, -6.282e+0
-0.023, 5.212e-7, -6.283e+0
-0.022, 5.196e-7, -6.284e+0
-0.021, 5.180e-7, -6.286e+0
-0.020, 5.163e-7, -6.287e+0
-0.019, 5.149e-7, -6.288e+0
-0.018, 5.133e-7, -6.290e+0
-0.017, 5.117e-7, -6.291e+0
-0.016, 5.104e-7, -6.292e+0
-0.015, 5.088e-7, -6.293e+0
-0.014, 5.073e-7, -6.295e+0
-0.013, 5.059e-7, -6.296e+0
-0.012, 5.044e-7, -6.297e+0
-0.011, 5.030e-7, -6.298e+0
-0.010, 5.015e-7, -6.300e+0
-0.009, 5.001e-7, -6.301e+0
-0.008, 4.987e-7, -6.302e+0
-0.007, 4.973e-7, -6.303e+0
-0.006, 4.960e-7, -6.305e+0
-0.005, 4.946e-7, -6.306e+0
-0.004, 4.931e-7, -6.307e+0
-0.003, 4.920e-7, -6.308e+0
-0.002, 4.905e-7, -6.309e+0
-0.001, 4.891e-7, -6.311e+0
-0.000, 4.875e-7, -6.312e+0
0.001, 4.862e-7, -6.313e+0
0.002, 4.850e-7, -6.314e+0
0.003, 4.838e-7, -6.315e+0
0.004, 4.824e-7, -6.317e+0
0.005, 4.812e-7, -6.318e+0
0.006, 4.799e-7, -6.319e+0
0.007, 4.785e-7, -6.320e+0
0.008, 4.773e-7, -6.321e+0
0.009, 4.760e-7, -6.322e+0
0.010, 4.748e-7, -6.323e+0
0.011, 4.735e-7, -6.325e+0
0.012, 4.722e-7, -6.326e+0
0.013, 4.712e-7, -6.327e+0
0.014, 4.698e-7, -6.328e+0
0.015, 4.685e-7, -6.329e+0
0.016, 4.673e-7, -6.330e+0
0.017, 4.660e-7, -6.332e+0
0.018, 4.648e-7, -6.333e+0
0.019, 4.636e-7, -6.334e+0
0.020, 4.622e-7, -6.335e+0
0.021, 4.611e-7, -6.336e+0
0.022, 4.599e-7, -6.337e+0
0.023, 4.587e-7, -6.339e+0
0.024, 4.575e-7, -6.340e+0
0.025, 4.563e-7, -6.341e+0
0.026, 4.552e-7, -6.342e+0
0.027, 4.539e-7, -6.343e+0
0.028, 4.525e-7, -6.344e+0
0.029, 4.514e-7, -6.345e+0
0.030, 4.501e-7, -6.347e+0
0.031, 4.488e-7, -6.348e+0
0.032, 4.477e-7, -6.349e+0
0.033, 4.463e-7, -6.350e+0
0.034, 4.451e-7, -6.352e+0
0.035, 4.439e-7, -6.353e+0
0.036, 4.426e-7, -6.354e+0
0.037, 4.415e-7, -6.355e+0
0.038, 4.401e-7, -6.356e+0
0.039, 4.389e-7, -6.358e+0
0.040, 4.376e-7, -6.359e+0
0.041, 4.363e-7, -6.360e+0
0.042, 4.352e-7, -6.361e+0
0.043, 4.338e-7, -6.363e+0
0.044, 4.324e-7, -6.364e+0
0.045, 4.312e-7, -6.365e+0
0.046, 4.298e-7, -6.367e+0
0.047, 4.284e-7, -6.368e+0
0.048, 4.272e-7, -6.369e+0
0.049, 4.257e-7, -6.371e+0
0.050, 4.244e-7, -6.372e+0
0.051, 4.231e-7, -6.374e+0
0.052, 4.215e-7, -6.375e+0
0.053, 4.202e-7, -6.377e+0
0.054, 4.187e-7, -6.378e+0
0.055, 4.173e-7, -6.380e+0
0.056, 4.159e-7, -6.381e+0
0.057, 4.144e-7, -6.383e+0
0.058, 4.129e-7, -6.384e+0
0.059, 4.114e-7, -6.386e+0
0.060, 4.098e-7, -6.387e+0
0.061, 4.085e-7, -6.389e+0
0.062, 4.068e-7, -6.391e+0
0.063, 4.052e-7, -6.392e+0
0.064, 4.038e-7, -6.394e+0
0.065, 4.020e-7, -6.396e+0
0.066, 4.003e-7, -6.398e+0
0.067, 3.987e-7, -6.399e+0
0.068, 3.969e-7, -6.401e+0
0.069, 3.953e-7, -6.403e+0
0.070, 3.935e-7, -6.405e+0
0.071, 3.917e-7, -6.407e+0
0.072, 3.899e-7, -6.409e+0
0.073, 3.881e-7, -6.411e+0
0.074, 3.863e-7, -6.413e+0
0.075, 3.845e-7, -6.415e+0
0.076, 3.825e-7, -6.417e+0
0.077, 3.809e-7, -6.419e+0
0.078, 3.788e-7, -6.422e+0
0.079, 3.767e-7, -6.424e+0
0.080, 3.749e-7, -6.426e+0
0.081, 3.727e-7, -6.429e+0
0.082, 3.706e-7, -6.431e+0
0.083, 3.686e-7, -6.433e+0
0.084, 3.663e-7, -6.436e+0
0.085, 3.642e-7, -6.439e+0
0.086, 3.619e-7, -6.441e+0
0.087, 3.597e-7, -6.444e+0
0.088, 3.575e-7, -6.447e+0
0.089, 3.551e-7, -6.450e+0
0.090, 3.529e-7, -6.452e+0
0.091, 3.504e-7, -6.455e+0
0.092, 3.478e-7, -6.459e+0
0.093, 3.455e-7, -6.462e+0
0.094, 3.429e-7, -6.465e+0
0.095, 3.402e-7, -6.468e+0
0.096, 3.377e-7, -6.471e+0
0.097, 3.349e-7, -6.475e+0
0.098, 3.322e-7, -6.479e+0
0.099, 3.295e-7, -6.482e+0
0.100, 3.266e-7, -6.486e+0
0.101, 3.238e-7, -6.490e+0
0.102, 3.207e-7, -6.494e+0
0.103, 3.176e-7, -6.498e+0
0.104, 3.146e-7, -6.502e+0
0.105, 3.113e-7, -6.507e+0
0.106, 3.083e-7, -6.511e+0
0.107, 3.050e-7, -6.516e+0
0.108, 3.016e-7, -6.521e+0
0.109, 2.984e-7, -6.525e+0
0.110, 2.948e-7, -6.530e+0
0.111, 2.912e-7, -6.536e+0
0.112, 2.880e-7, -6.541e+0
0.113, 2.841e-7, -6.547e+0
0.114, 2.804e-7, -6.552e+0
0.115, 2.769e-7, -6.558e+0
0.116, 2.728e-7, -6.564e+0
0.117, 2.688e-7, -6.571e+0
0.118, 2.647e-7, -6.577e+0
0.119, 2.606e-7, -6.584e+0
0.120, 2.565e-7, -6.591e+0
0.121, 2.520e-7, -6.599e+0
0.122, 2.477e-7, -6.606e+0
0.123, 2.431e-7, -6.614e+0
0.124, 2.382e-7, -6.623e+0
0.125, 2.339e-7, -6.631e+0
0.126, 2.289e-7, -6.640e+0
0.127, 2.239e-7, -6.650e+0
0.128, 2.193e-7, -6.659e+0
0.129, 2.139e-7, -6.670e+0
0.130, 2.085e-7, -6.681e+0
0.131, 2.031e-7, -6.692e+0
0.132, 1.975e-7, -6.705e+0
0.133, 1.920e-7, -6.717e+0
0.134, 1.859e-7, -6.731e+0
0.135, 1.800e-7, -6.745e+0
0.136, 1.740e-7, -6.759e+0
0.137, 1.676e-7, -6.776e+0
0.138, 1.615e-7, -6.792e+0
0.139, 1.549e-7, -6.810e+0
0.140, 1.480e-7, -6.830e+0
0.141, 1.418e-7, -6.848e+0
0.142, 1.343e-7, -6.872e+0
0.143, 1.270e-7, -6.896e+0
0.144, 1.201e-7, -6.920e+0
0.145, 1.123e-7, -6.950e+0
0.146, 1.048e-7, -6.980e+0
0.147, 9.677e-8, -7.014e+0
0.148, 8.839e-8, -7.054e+0
0.149, 8.030e-8, -7.095e+0
0.150, 7.160e-8, -7.145e+0
0.151, 6.301e-8, -7.201e+0
0.152, 5.422e-8, -7.266e+0
0.153, 4.470e-8, -7.350e+0
0.154, 3.576e-8, -7.447e+0
0.155, 2.578e-8, -7.589e+0
0.156, 1.571e-8, -7.804e+0
0.157, 6.077e-9, -8.216e+0
0.158, -4.634e-9, -8.334e+0
0.159, -1.526e-8, -7.817e+0
0.160, -2.585e-8, -7.588e+0
0.161, -3.725e-8, -7.429e+0
0.162, -4.842e-8, -7.315e+0
0.163, -5.967e-8, -7.224e+0
0.164, -7.186e-8, -7.144e+0
0.165, -8.347e-8, -7.078e+0
0.166, -9.603e-8, -7.018e+0
0.167, -1.085e-7, -6.965e+0
0.168, -1.214e-7, -6.916e+0
0.169, -1.349e-7, -6.870e+0
0.170, -1.478e-7, -6.830e+0
0.171, -1.618e-7, -6.791e+0
0.172, -1.761e-7, -6.754e+0
0.173, -1.898e-7, -6.722e+0
0.174, -2.045e-7, -6.689e+0
0.175, -2.193e-7, -6.659e+0
0.176, -2.337e-7, -6.631e+0
0.177, -2.494e-7, -6.603e+0
0.178, -2.646e-7, -6.577e+0
0.179, -2.797e-7, -6.553e+0
0.180, -2.959e-7, -6.529e+0
0.181, -3.120e-7, -6.506e+0
0.182, -3.287e-7, -6.483e+0
0.183, -3.450e-7, -6.462e+0
0.184, -3.614e-7, -6.442e+0
0.185, -3.789e-7, -6.421e+0
0.186, -3.957e-7, -6.403e+0
0.187, -4.133e-7, -6.384e+0
0.188, -4.311e-7, -6.365e+0
0.189, -4.473e-7, -6.349e+0
0.190, -4.657e-7, -6.332e+0
0.191, -4.834e-7, -6.316e+0
0.192, -5.003e-7, -6.301e+0
0.193, -5.188e-7, -6.285e+0
0.194, -5.365e-7, -6.270e+0
0.195, -5.543e-7, -6.256e+0
0.196, -5.726e-7, -6.242e+0
0.197, -5.900e-7, -6.229e+0
0.198, -6.085e-7, -6.216e+0
0.199, -6.264e-7, -6.203e+0
0.200, -6.439e-7, -6.191e+0
0.201, -6.621e-7, -6.179e+0
0.202, -6.785e-7, -6.168e+0
0.203, -6.961e-7, -6.157e+0
0.204, -7.142e-7, -6.146e+0
0.205, -7.314e-7, -6.136e+0
0.206, -7.488e-7, -6.126e+0
0.207, -7.657e-7, -6.116e+0
0.208, -7.809e-7, -6.107e+0
0.209, -7.977e-7, -6.098e+0
0.210, -8.132e-7, -6.090e+0
0.211, -8.287e-7, -6.082e+0
0.212, -8.444e-7, -6.073e+0
0.213, -8.588e-7, -6.066e+0
0.214, -8.736e-7, -6.059e+0
0.215, -8.873e-7, -6.052e+0
0.216, -9.007e-7, -6.045e+0
0.217, -9.144e-7, -6.039e+0
0.218, -9.262e-7, -6.033e+0
0.219, -9.393e-7, -6.027e+0
0.220, -9.520e-7, -6.021e+0
0.221, -9.621e-7, -6.017e+0
0.222, -9.738e-7, -6.012e+0
0.223, -9.844e-7, -6.007e+0
0.224, -9.940e-7, -6.003e+0
0.225, -1.004e-6, -5.998e+0
0.226, -1.013e-6, -5.994e+0
0.227, -1.021e-6, -5.991e+0
0.228, -1.030e-6, -5.987e+0
0.229, -1.036e-6, -5.985e+0
0.230, -1.044e-6, -5.981e+0
0.231, -1.049e-6, -5.979e+0
0.232, -1.056e-6, -5.976e+0
0.233, -1.062e-6, -5.974e+0
0.234, -1.066e-6, -5.972e+0
0.235, -1.071e-6, -5.970e+0
0.236, -1.076e-6, -5.968e+0
0.237, -1.078e-6, -5.967e+0
0.238, -1.082e-6, -5.966e+0
0.239, -1.085e-6, -5.965e+0
0.240, -1.086e-6, -5.964e+0
0.241, -1.088e-6, -5.963e+0
0.242, -1.089e-6, -5.963e+0
0.243, -1.090e-6, -5.963e+0
0.244, -1.091e-6, -5.962e+0
0.245, -1.090e-6, -5.962e+0
0.246, -1.090e-6, -5.962e+0
0.247, -1.089e-6, -5.963e+0
0.248, -1.088e-6, -5.963e+0
0.249, -1.087e-6, -5.964e+0
0.250, -1.085e-6, -5.965e+0
0.251, -1.083e-6, -5.965e+0
0.252, -1.081e-6, -5.966e+0
0.253, -1.077e-6, -5.968e+0
0.254, -1.075e-6, -5.969e+0
0.255, -1.072e-6, -5.970e+0
0.256, -1.068e-6, -5.972e+0
0.257, -1.064e-6, -5.973e+0
0.258, -1.061e-6, -5.974e+0
0.259, -1.056e-6, -5.976e+0
0.260, -1.052e-6, -5.978e+0
0.261, -1.047e-6, -5.980e+0
0.262, -1.043e-6, -5.982e+0
0.263, -1.038e-6, -5.984e+0
0.264, -1.033e-6, -5.986e+0
0.265, -1.028e-6, -5.988e+0
0.266, -1.022e-6, -5.991e+0
0.267, -1.016e-6, -5.993e+0
0.268, -1.011e-6, -5.995e+0
0.269, -1.005e-6, -5.998e+0
0.270, -9.994e-7, -6.000e+0
0.271, -9.937e-7, -6.003e+0
0.272, -9.873e-7, -6.006e+0
0.273, -9.817e-7, -6.008e+0
0.274, -9.756e-7, -6.011e+0
0.275, -9.695e-7, -6.013e+0
0.276, -9.636e-7, -6.016e+0
0.277, -9.573e-7, -6.019e+0
0.278, -9.511e-7, -6.022e+0
0.279, -9.447e-7, -6.025e+0
0.280, -9.384e-7, -6.028e+0
0.281, -9.323e-7, -6.030e+0
0.282, -9.256e-7, -6.034e+0
0.283, -9.197e-7, -6.036e+0
0.284, -9.137e-7, -6.039e+0
0.285, -9.071e-7, -6.042e+0
0.286, -9.011e-7, -6.045e+0
0.287, -8.950e-7, -6.048e+0
0.288, -8.887e-7, -6.051e+0
0.289, -8.828e-7, -6.054e+0
0.290, -8.767e-7, -6.057e+0
0.291, -8.705e-7, -6.060e+0
0.292, -8.646e-7, -6.063e+0
0.293, -8.584e-7, -6.066e+0
0.294, -8.525e-7, -6.069e+0
0.295, -8.465e-7, -6.072e+0
0.296, -8.407e-7, -6.075e+0
0.297, -8.351e-7, -6.078e+0
0.298, -8.291e-7, -6.081e+0
0.299, -8.235e-7, -6.084e+0
0.300, -8.181e-7, -6.087e+0
0.301, -8.123e-7, -6.090e+0
0.302, -8.069e-7, -6.093e+0
0.303, -8.015e-7, -6.096e+0
0.304, -7.959e-7, -6.099e+0
0.305, -7.907e-7, -6.102e+0
0.306, -7.853e-7, -6.105e+0
0.307, -7.801e-7, -6.108e+0
0.308, -7.750e-7, -6.111e+0
0.309, -7.697e-7, -6.114e+0
0.310, -7.647e-7, -6.117e+0
0.311, -7.597e-7, -6.119e+0
0.312, -7.547e-7, -6.122e+0
0.313, -7.500e-7, -6.125e+0
0.314, -7.451e-7, -6.128e+0
0.315, -7.404e-7, -6.131e+0
0.316, -7.358e-7, -6.133e+0
0.317, -7.309e-7, -6.136e+0
0.318, -7.264e-7, -6.139e+0
0.319, -7.220e-7, -6.141e+0
0.320, -7.173e-7, -6.144e+0
0.321, -7.131e-7, -6.147e+0
0.322, -7.087e-7, -6.150e+0
0.323, -7.043e-7, -6.152e+0
0.324, -7.002e-7, -6.155e+0
0.325, -6.959e-7, -6.157e+0
0.326, -6.919e-7, -6.160e+0
0.327, -6.879e-7, -6.162e+0
0.328, -6.838e-7, -6.165e+0
0.329, -6.800e-7, -6.168e+0
0.330, -6.759e-7, -6.170e+0
0.331, -6.721e-7, -6.173e+0
0.332, -6.684e-7, -6.175e+0
0.333, -6.645e-7, -6.178e+0
0.334, -6.611e-7, -6.180e+0
0.335, -6.576e-7, -6.182e+0
0.336, -6.538e-7, -6.185e+0
0.337, -6.504e-7, -6.187e+0
0.338, -6.469e-7, -6.189e+0
0.339, -6.435e-7, -6.191e+0
0.340, -6.402e-7, -6.194e+0
0.341, -6.368e-7, -6.196e+0
0.342, -6.335e-7, -6.198e+0
0.343, -6.302e-7, -6.201e+0
0.344, -6.270e-7, -6.203e+0
0.345, -6.239e-7, -6.205e+0
0.346, -6.205e-7, -6.207e+0
0.347, -6.175e-7, -6.209e+0
0.348, -6.146e-7, -6.211e+0
0.349, -6.114e-7, -6.214e+0
0.350, -6.086e-7, -6.216e+0
0.351, -6.057e-7, -6.218e+0
0.352, -6.028e-7, -6.220e+0
0.353, -6.001e-7, -6.222e+0
0.354, -5.973e-7, -6.224e+0
0.355, -5.945e-7, -6.226e+0
0.356, -5.918e-7, -6.228e+0
0.357, -5.890e-7, -6.230e+0
0.358, -5.865e-7, -6.232e+0
0.359, -5.839e-7, -6.234e+0
0.360, -5.813e-7, -6.236e+0
0.361, -5.788e-7, -6.237e+0
0.362, -5.762e-7, -6.239e+0
0.363, -5.738e-7, -6.241e+0
0.364, -5.715e-7, -6.243e+0
0.365, -5.690e-7, -6.245e+0
0.366, -5.667e-7, -6.247e+0
0.367, -5.645e-7, -6.248e+0
0.368, -5.619e-7, -6.250e+0
0.369, -5.598e-7, -6.252e+0
0.370, -5.575e-7, -6.254e+0
0.371, -5.552e-7, -6.256e+0
0.372, -5.531e-7, -6.257e+0
0.373, -5.509e-7, -6.259e+0
0.374, -5.489e-7, -6.261e+0
0.375, -5.468e-7, -6.262e+0
0.376, -5.446e-7, -6.264e+0
0.377, -5.427e-7, -6.265e+0
0.378, -5.406e-7, -6.267e+0
0.379, -5.386e-7, -6.269e+0
0.380, -5.368e-7, -6.270e+0
0.381, -5.346e-7, -6.272e+0
0.382, -5.328e-7, -6.273e+0
0.383, -5.310e-7, -6.275e+0
0.384, -5.289e-7, -6.277e+0
0.385, -5.273e-7, -6.278e+0
0.386, -5.255e-7, -6.279e+0
0.387, -5.237e-7, -6.281e+0
0.388, -5.220e-7, -6.282e+0
0.389, -5.202e-7, -6.284e+0
0.390, -5.186e-7, -6.285e+0
0.391, -5.169e-7, -6.287e+0
0.392, -5.152e-7, -6.288e+0
0.393, -5.136e-7, -6.289e+0
0.394, -5.119e-7, -6.291e+0
0.395, -5.103e-7, -6.292e+0
0.396, -5.088e-7, -6.293e+0
0.397, -5.071e-7, -6.295e+0
0.398, -5.058e-7, -6.296e+0
0.399, -5.043e-7, -6.297e+0
0.400, -5.027e-7, -6.299e+0
0.401, -5.013e-7, -6.300e+0
0.402, -4.998e-7, -6.301e+0
0.403, -4.984e-7, -6.302e+0
0.404, -4.971e-7, -6.304e+0
0.405, -4.956e-7, -6.305e+0
0.406, -4.942e-7, -6.306e+0
0.407, -4.929e-7, -6.307e+0
0.408, -4.915e-7, -6.309e+0
0.409, -4.903e-7, -6.309e+0
0.410, -4.893e-7, -6.310e+0
0.411, -4.879e-7, -6.312e+0
0.412, -4.867e-7, -6.313e+0
0.413, -4.852e-7, -6.314e+0
0.414, -4.841e-7, -6.315e+0
0.415, -4.829e-7, -6.316e+0
0.416, -4.815e-7, -6.317e+0
0.417, -4.805e-7, -6.318e+0
0.418, -4.793e-7, -6.319e+0
0.419, -4.781e-7, -6.321e+0
0.420, -4.770e-7, -6.321e+0
0.421, -4.758e-7, -6.323e+0
0.422, -4.747e-7, -6.324e+0
0.423, -4.736e-7, -6.325e+0
0.424, -4.726e-7, -6.326e+0
0.425, -4.716e-7, -6.326e+0
0.426, -4.704e-7, -6.327e+0
0.427, -4.694e-7, -6.328e+0
0.428, -4.685e-7, -6.329e+0
0.429, -4.674e-7, -6.330e+0
0.430, -4.665e-7, -6.331e+0
0.431, -4.656e-7, -6.332e+0
0.432, -4.644e-7, -6.333e+0
0.433, -4.636e-7, -6.334e+0
0.434, -4.626e-7, -6.335e+0
0.435, -4.616e-7, -6.336e+0
0.436, -4.608e-7, -6.337e+0
0.437, -4.599e-7, -6.337e+0
0.438, -4.591e-7, -6.338e+0
0.439, -4.582e-7, -6.339e+0
0.440, -4.573e-7, -6.340e+0
0.441, -4.566e-7, -6.340e+0
0.442, -4.557e-7, -6.341e+0
0.443, -4.549e-7, -6.342e+0
0.444, -4.542e-7, -6.343e+0
0.445, -4.532e-7, -6.344e+0
0.446, -4.526e-7, -6.344e+0
0.447, -4.519e-7, -6.345e+0
0.448, -4.510e-7, -6.346e+0
0.449, -4.504e-7, -6.346e+0
0.450, -4.497e-7, -6.347e+0
0.451, -4.489e-7, -6.348e+0
0.452, -4.483e-7, -6.348e+0
0.453, -4.476e-7, -6.349e+0
0.454, -4.470e-7, -6.350e+0
0.455, -4.464e-7, -6.350e+0
0.456, -4.457e-7, -6.351e+0
0.457, -4.451e-7, -6.352e+0
0.458, -4.444e-7, -6.352e+0
0.459, -4.438e-7, -6.353e+0
0.460, -4.434e-7, -6.353e+0
0.461, -4.426e-7, -6.354e+0
0.462, -4.422e-7, -6.354e+0
0.463, -4.417e-7, -6.355e+0
0.464, -4.410e-7, -6.356e+0
0.465, -4.406e-7, -6.356e+0
0.466, -4.400e-7, -6.357e+0
0.467, -4.395e-7, -6.357e+0
0.468, -4.391e-7, -6.357e+0
0.469, -4.386e-7, -6.358e+0
0.470, -4.381e-7, -6.358e+0
0.471, -4.376e-7, -6.359e+0
0.472, -4.371e-7, -6.359e+0
0.473, -4.367e-7, -6.360e+0
0.474, -4.362e-7, -6.360e+0
0.475, -4.358e-7, -6.361e+0
0.476, -4.355e-7, -6.361e+0
0.477, -4.350e-7, -6.362e+0
0.478, -4.347e-7, -6.362e+0
0.479, -4.343e-7, -6.362e+0
0.480, -4.339e-7, -6.363e+0
0.481, -4.336e-7, -6.363e+0
0.482, -4.333e-7, -6.363e+0
0.483, -4.329e-7, -6.364e+0
0.484, -4.326e-7, -6.364e+0
0.485, -4.322e-7, -6.364e+0
0.486, -4.319e-7, -6.365e+0
0.487, -4.316e-7, -6.365e+0
0.488, -4.314e-7, -6.365e+0
0.489, -4.312e-7, -6.365e+0
0.490, -4.309e-7, -6.366e+0
0.491, -4.307e-7, -6.366e+0
0.492, -4.306e-7, -6.366e+0
0.493, -4.302e-7, -6.366e+0
0.494, -4.301e-7, -6.366e+0
0.495, -4.300e-7, -6.367e+0
0.496, -4.296e-7, -6.367e+0
0.497, -4.296e-7, -6.367e+0
0.498, -4.294e-7, -6.367e+0
0.499, -4.291e-7, -6.367e+0
